productId,isChanged,bank,loan purpose,rate repayment type,product name,product type,interest type,interest rate,comparison rate,interest subType,rate additional info,rate tiers,rate calculation frequency,rate application frequency,rate additional value,interest payment due,description,is tailored,application link,effectiveFrom,effectiveTo,lastUpdated
,N/B,Athena,,,,,,,,,,,,,,,,,,,,
,N/B,Bluestone,,,,,,,,,,,,,,,,,,,,
,N/B,Border Bank,,,,,,,,,,,,,,,,,,,,
,N/B,Challenger,,,,,,,,,,,,,,,,,,,,
,N/B,Firstmac,,,,,,,,,,,,,,,,,,,,
,N/B,Freedom Lend,,,,,,,,,,,,,,,,,,,,
,N/B,Funding.com.au,,,,,,,,,,,,,,,,,,,,
,N/B,homeloans.com.au,,,,,,,,,,,,,,,,,,,,
,N/B,Homestar,,,,,,,,,,,,,,,,,,,,
,N/B,HomeStart,,,,,,,,,,,,,,,,,,,,
,N/B,Household Capital,,,,,,,,,,,,,,,,,,,,
,N/B,La Trobe Financial,,,,,,,,,,,,,,,,,,,,
,N/B,Liberty Financial,,,,,,,,,,,,,,,,,,,,
,N/B,Loan Market,,,,,,,,,,,,,,,,,,,,
,N/B,loans.com.au,,,,,,,,,,,,,,,,,,,,
,N/B,Mortgage House,,,,,,,,,,,,,,,,,,,,
,N/B,Pacific Mortgage Group,,,,,,,,,,,,,,,,,,,,
,N/B,Pepper Money,,,,,,,,,,,,,,,,,,,,
,N/B,Reduce Home Loans,,,,,,,,,,,,,,,,,,,,
,N/B,Resi,,,,,,,,,,,,,,,,,,,,
,N/B,RESIMAC,,,,,,,,,,,,,,,,,,,,
,N/B,Sucasa,,,,,,,,,,,,,,,,,,,,
,N/B,Tiimely,OWNER_OCCUPIED,PRINCIPAL_AND_INTEREST,,RESIDENTIAL_MORTGAGES,,0.0594,0.0595,VARIABLE,,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,PRINCIPAL_AND_INTEREST,,RESIDENTIAL_MORTGAGES,,0.0629,0.0629,VARIABLE,,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0632,VARIABLE,,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,PRINCIPAL_AND_INTEREST,,RESIDENTIAL_MORTGAGES,,0.0594,0.0605,VARIABLE,,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,PRINCIPAL_AND_INTEREST,,RESIDENTIAL_MORTGAGES,,0.0629,0.0640,VARIABLE,,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0643,VARIABLE,With Offset • Investment • Interest only 1 year,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0645,VARIABLE,With Offset • Investment • Interest only 2 years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0647,VARIABLE,With Offset • Investment • Interest only 3  years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0648,VARIABLE,With Offset • Investment • Interest only 4  years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,INVESTMENT,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0654,0.0650,VARIABLE,With Offset • Investment • Interest only 5  years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0611,VARIABLE,Owner-occupied • Interest only 1 year,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0621,VARIABLE,Owner-occupied • Interest only 2 years,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0630,VARIABLE,Owner-occupied • Interest only 3 years,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0639,VARIABLE,Owner-occupied • Interest only 4 years,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0647,VARIABLE,Owner-occupied • Interest only 5 years,LVR <90%,,,,,,FALSE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0611,VARIABLE,With Offset • Owner-occupied • Interest only 1 year,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0621,VARIABLE,With Offset • Owner-occupied • Interest only 2 years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0630,VARIABLE,With Offset • Owner-occupied • Interest only 3 years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0639,VARIABLE,With Offset • Owner-occupied • Interest only 4 years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Tiimely,OWNER_OCCUPIED,INTEREST_ONLY,,RESIDENTIAL_MORTGAGES,,0.0709,0.0647,VARIABLE,With Offset • Owner-occupied • Interest only 5 years,LVR <90%,,,,,,TRUE,,,,15/7/2024
,N/B,Well Money,,,,,,,,,,,,,,,,,,,,
,N/B,Yard,,,,,,,,,,,,,,,,,,,,
,N/B,Yellow Brick Road,,,,,,,,,,,,,,,,,,,,
,A/E,Aussie,,,,,,,,,,,,,,,,,,,,
,A/E,AWA Alliance Bank,,,,,,,,,,,,,,,,,,,,
,A/E,BDCU Alliance Bank,,,,,,,,,,,,,,,,,,,,
,A/E,CBA - CommBiz,,,,,,,,,,,,,,,,,,,,
,A/E,Circle Alliance Bank,,,,,,,,,,,,,,,,,,,,
,A/E,Delphi Bank,,,,,,,,,,,,,,,,,,,,
,A/E,Endeavour Mutual Bank,,,,,,,,,,,,,,,,,,,,
,A/E,First Choice Credit Union,,,,,,,,,,,,,,,,,,,,
,A/E,MOVE Bank,,,,,,,,,,,,,,,,,,,,
,A/E,MyLife MyFinance,,,,,,,,,,,,,,,,,,,,
,A/E,Northern Inland Credit Union,,,,,,,,,,,,,,,,,,,,
,A/E,Nova Alliance Bank,,,,,,,,,,,,,,,,,,,,
,A/E,Rabobank,,,,,,,,,,,,,,,,,,,,
,A/E,Service One Alliance Bank,,,,,,,,,,,,,,,,,,,,
,A/E,South West Credit Union,,,,,,,,,,,,,,,,,,,,
,A/E,Volt Bank,,,,,,,,,,,,,,,,,,,,
,A/E,Cairns Bank,,,,,,,,,,,,,,,,,,,,